OID_,NAME,COUNTY
277,CHARLESTOWN,WASHINGTON
278,WESTERLY,WASHINGTON
279,CHARLESTOWN,WASHINGTON
280,CHARLESTOWN,WASHINGTON
281,CHARLESTOWN,WASHINGTON
282,WESTERLY,WASHINGTON
283,CHARLESTOWN,WASHINGTON
284,WESTERLY,WASHINGTON
285,WESTERLY,WASHINGTON
286,WESTERLY,WASHINGTON
287,WESTERLY,WASHINGTON
288,WESTERLY,WASHINGTON
289,WESTERLY,WASHINGTON
290,WESTERLY,WASHINGTON
291,CHARLESTOWN,WASHINGTON
292,WESTERLY,WASHINGTON
293,WESTERLY,WASHINGTON
294,WESTERLY,WASHINGTON
295,WESTERLY,WASHINGTON
296,WESTERLY,WASHINGTON
297,WESTERLY,WASHINGTON
298,WESTERLY,WASHINGTON
299,WESTERLY,WASHINGTON
300,WESTERLY,WASHINGTON
301,WESTERLY,WASHINGTON
302,WESTERLY,WASHINGTON
303,WESTERLY,WASHINGTON
304,WESTERLY,WASHINGTON
305,WESTERLY,WASHINGTON
306,WESTERLY,WASHINGTON
307,WESTERLY,WASHINGTON
308,NEW SHOREHAM,WASHINGTON
309,NEW SHOREHAM,WASHINGTON
310,NEW SHOREHAM,WASHINGTON
